grid,nodes,edges,edit,seeds,dirty,recomputed,dirty_frac,t_global_ms,t_full_ms,t_local_ms,speedup,bit_exact,cert_residual,t_cert_ms,t_full_sp_ms,t_local_sp_ms
8,64,112,initial,,,,,2958.5615,13.3018,,,,,,13.5768,
8,65,113,add1,2,37,37,0.3274,,14.4675,8.4075,1.72,1,0,0.5296,14.4107,8.3692
8,66,115,add2,3,51,51,0.4435,,14.9740,10.7081,1.40,1,0,0.5122,15.0197,10.6440
8,67,116,add_corner,2,13,13,0.1121,,15.1415,0.7771,19.48,1,0,0.5213,15.0436,0.7788
8,66,114,delete,2,49,49,0.4298,,14.6672,10.2491,1.43,1,0,0.5096,14.6247,10.1407
12,144,264,initial,,,,,161695.4043,41.6422,,,,,,39.8008,
12,145,265,add1,2,37,37,0.1396,,40.8490,9.0308,4.52,1,0,1.4770,40.8193,9.0531
12,146,267,add2,3,51,51,0.1910,,41.2763,12.2163,3.38,1,0,1.4770,41.3174,12.2801
12,147,268,add_corner,2,13,13,0.0485,,41.1753,0.8134,50.62,1,0,1.4956,41.5534,0.8297
12,146,266,delete,2,49,49,0.1842,,40.7404,11.8697,3.43,1,0,1.4770,40.6918,11.8241
16,256,480,initial,,,,,,81.7828,,,,,,81.3770,
16,257,481,add1,2,37,37,0.0769,,82.8938,9.2150,9.00,1,0,3.8366,82.8122,9.2898
16,258,483,add2,3,51,51,0.1056,,83.4320,12.5425,6.65,1,0,4.0164,83.1171,12.5023
16,259,484,add_corner,2,13,13,0.0269,,83.9898,0.9314,90.17,1,0,3.7393,83.1306,0.9172
16,258,482,delete,2,49,49,0.1017,,83.4672,11.9931,6.96,1,0,3.6957,83.0787,12.0896
24,576,1104,initial,,,,,,211.6501,,,,,,211.5391,
24,577,1105,add1,2,37,37,0.0335,,212.6244,9.6355,22.07,1,0,25.8815,213.6935,9.7566
24,578,1107,add2,3,51,51,0.0461,,213.4190,13.1091,16.28,1,0,25.0574,212.9823,12.9974
24,579,1108,add_corner,2,13,13,0.0117,,213.5723,1.2259,174.22,1,0,25.2831,213.5788,1.1905
24,578,1106,delete,2,49,49,0.0443,,213.2721,12.4820,17.09,1,0,25.5035,213.1752,12.4893
32,1024,1984,initial,,,,,,423.4837,,,,,,424.3060,
32,1025,1985,add1,2,37,37,0.0186,,1626.6380,22.8050,71.33,1,,,893.2853,22.4707
32,1026,1987,add2,3,51,51,0.0257,,899.7035,30.1647,29.83,1,,,895.1728,29.8561
32,1027,1988,add_corner,2,13,13,0.0065,,899.2806,4.0690,221.01,1,,,897.2928,3.8073
32,1026,1986,delete,2,49,49,0.0247,,907.9908,29.2581,31.03,1,,,893.3837,28.6627
48,2304,4512,initial,,,,,,3873.5875,,,,,,2239.9665,
48,2305,4513,add1,2,37,37,0.0082,,2267.9448,69.8577,32.47,1,,,2263.3844,25.2323
48,2306,4515,add2,3,51,51,0.0113,,3983.0089,61.0576,65.23,1,,,2245.2475,33.2340
48,2307,4516,add_corner,2,13,13,0.0029,,3901.7968,35.9874,108.42,1,,,2249.9931,6.2937
48,2306,4514,delete,2,49,49,0.0109,,2271.3856,59.3400,38.28,1,,,2248.6969,32.1708
64,4096,8064,initial,,,,,,4869.6457,,,,,,4795.6977,
64,4097,8065,add1,2,37,37,0.0046,,4872.0753,119.9627,40.61,1,,,4796.2483,31.6356
64,4098,8067,add2,3,51,51,0.0063,,4870.1385,131.5366,37.02,1,,,4798.5148,41.7751
64,4099,8068,add_corner,2,13,13,0.0016,,4872.3635,98.7869,49.32,1,,,4803.4631,10.0820
64,4098,8066,delete,2,49,49,0.0061,,4871.5475,129.8478,37.52,1,,,7904.8678,40.6221
